canonical_smiles,MW,cLogP,HBD,HBA,TPSA,QED,SA_score,scaffold,has_hydroxyl,has_amine,has_carbonyl,has_amide,has_halogen_F,has_halogen_Cl,has_halogen_Br,has_aromatic_ring,has_piperidine,has_piperazine,has_morpholine
CC(C)c1cnn2c(NCc3ccc(NC(=O)C4CCOCC4)cc3)nc(NC3CCOCC3)nc12,493.6120000000004,3.815800000000002,3,8,114.7,0.43396723710841906,2.8216784281446188,O=C(Nc1ccc(CNc2nc(NC3CCOCC3)nc3ccnn23)cc1)C1CCOCC1,False,True,True,True,False,False,False,True,False,False,False
Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN4CCCCC4)C5)ncc3F)cc2n1C1CC1,558.6370000000003,4.924020000000004,1,7,92.07,0.3590763257272503,3.107767191036996,O=C(CN1CCCCC1)N1CCc2nc(Nc3nccc(-c4ccc5ncn(C6CC6)c5c4)n3)ccc2C1,False,True,True,True,True,False,False,True,True,False,False
Nc1cccc(-c2nc3c(NCCCNC(=O)C4CCC4)c(Br)cnc3[nH]2)c1,443.3490000000001,3.6879000000000017,4,5,108.72,0.32911660482934857,2.728315044662665,O=C(NCCCNc1ccnc2[nH]c(-c3ccccc3)nc12)C1CCC1,False,True,True,True,False,False,True,True,False,False,False
Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN4CCOCC4)C5)ncc3F)cc2n1C1CC1,560.6090000000003,3.7703200000000026,1,8,101.30000000000001,0.38052672554685574,3.146192614765809,O=C(CN1CCOCC1)N1CCc2nc(Nc3nccc(-c4ccc5ncn(C6CC6)c5c4)n3)ccc2C1,False,True,True,True,True,False,False,True,False,False,True
N#Cc1cscc1-c1c[nH]c(=O)c2cc(-c3ccncc3)sc12,335.413,4.251780000000001,1,5,69.53999999999999,0.5951111152421195,3.0397232402528243,O=c1[nH]cc(-c2ccsc2)c2sc(-c3ccncc3)cc12,False,False,False,False,False,False,False,True,False,False,False
N#C/C=C(/c1ccc2nc(N)c(C(=O)c3c(F)cccc3F)n2c1)c1c(F)cccc1F,436.36800000000005,4.659180000000002,1,4,84.18,0.28657421198349087,3.1033745340986156,C=C(c1ccccc1)c1ccc2ncc(C(=O)c3ccccc3)n2c1,False,True,True,False,True,False,False,True,False,False,False
CCS(=O)(Cc1cc(F)cc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1)=NC#N,461.4690000000002,4.782080000000003,1,7,100.25999999999999,0.5083840623731367,3.5655866802124425,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,False,True,False,False,True,False,False,True,False,False,False
O=C(Nc1cccnc1)Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1,418.4610000000003,2.8242000000000003,4,6,123.85,0.39512107626199944,2.8013998574485512,O=C(Nc1cccnc1)Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1,False,False,True,True,False,False,False,True,False,False,True
CC[C@H](Nc1nc(NC2CCC2)c2ncn(C(C)C)c2n1)[C@@H](C)O,332.45200000000006,2.942900000000002,3,6,87.89,0.722366900922915,3.486427268566893,c1nc(NC2CCC2)c2nc[nH]c2n1,True,True,False,False,False,False,False,True,False,False,False
CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3cccc(CN4CCOCC4)c3)nc1-2,461.5700000000003,2.6462000000000003,2,7,97.2,0.6028866088682846,2.939246754595894,c1cc(CN2CCOCC2)cc(Nc2ncc3c(n2)-c2[nH]ncc2CC3)c1,False,True,True,True,False,False,False,True,False,False,True
