canonical_smiles,MW,cLogP,HBD,HBA,TPSA,QED,SA_score,scaffold,has_hydroxyl,has_amine,has_carbonyl,has_amide,has_halogen_F,has_halogen_Cl,has_halogen_Br,has_aromatic_ring,has_piperidine,has_piperazine,has_morpholine
CCNc1c(C(=O)Nc2cc(C(=O)Nc3ccon3)ccc2C)cnn1-c1ccccc1C,444.4950000000002,4.413540000000003,3,6,114.08000000000001,0.3889535225317768,2.550584253254094,O=C(Nc1cccc(C(=O)Nc2ccon2)c1)c1cnn(-c2ccccc2)c1,False,True,True,True,False,False,False,True,False,False,False
CNc1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)c3ccccc23)ncn1,453.4240000000001,6.126600000000003,3,5,88.17,0.3385268589592878,2.4034453007172694,O=C(Nc1ccccc1)Nc1ccc(Oc2ccncn2)c2ccccc12,False,True,True,True,True,False,False,True,False,False,False
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1,589.6220000000001,5.803820000000005,3,7,102.49,0.250346957879956,2.5401995970895452,O=C(Nc1cccc(C(=O)Nc2cnc(Nc3ccc(N4CCNCC4)cc3)nc2)c1)c1ccccc1,False,True,True,True,True,False,False,True,False,True,False
CCC(C)Nc1cc(-c2[nH]c(SCC(O)CO)nc2-c2ccc(F)cc2)ccn1,416.52200000000005,3.9335000000000013,4,6,94.06,0.3949956798074338,3.3701551391255613,c1ccc(-c2nc[nH]c2-c2ccncc2)cc1,True,True,False,False,True,False,False,True,False,False,False
CC(=O)Nc1cc(COc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)c(F)c2)ccn1,530.6040000000003,6.193720000000005,3,5,110.17,0.2637761034837253,2.5801598451655607,O=C(Nc1ccc(OCc2ccncc2)cc1)Nc1ccnn1-c1ccccc1,False,False,True,True,True,False,False,True,False,False,False
COc1cc(F)c(-c2c(N)c(C(=O)c3ccc(F)cc3F)cc[n+]2[O-])c(F)c1,392.30800000000005,3.3652000000000015,1,4,79.26,0.3196339130728648,2.839061593245658,O=C(c1ccccc1)c1cc[nH+]c(-c2ccccc2)c1,False,True,True,False,True,False,False,True,False,False,False
CCCNC(=O)c1cn2ncnc(Nc3cc(NC(=O)c4cc(F)cc(N5CCOCC5)c4)ccc3C)c2c1C,545.6190000000004,4.457540000000003,3,7,112.89000000000001,0.2997371108519852,2.7871184874979917,O=C(Nc1cccc(Nc2ncnn3cccc23)c1)c1cccc(N2CCOCC2)c1,False,True,True,True,True,False,False,True,False,False,True
Cc1ccc(NC(=O)c2cc(F)cc(N3CCOCC3)c2)cc1Nc1ncnn2cc(C(=O)NC(C)C)c(C)c12,545.6190000000001,4.455940000000003,3,7,112.89000000000001,0.31442001270564235,2.8077437750190413,O=C(Nc1cccc(Nc2ncnn3cccc23)c1)c1cccc(N2CCOCC2)c1,False,True,True,True,True,False,False,True,False,False,True
COc1ccc(-n2nc(C(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]nc(OCCN6CCOCC6)c5c4)n3)c3ccccc23)cc1,754.8519999999997,7.714700000000007,4,11,165.59999999999997,0.09109978253564192,3.329161108754329,O=C(Nc1ccc(Oc2ccnc(Nc3ccc4[nH]nc(OCCN5CCOCC5)c4c3)n2)c2ccccc12)Nc1ccnn1-c1ccccc1,False,True,True,True,False,False,False,True,False,False,True
O=C1c2ccccc2C(=O)N1CCCN(c1ccc(=O)n(-c2ccccc2Cl)n1)c1ccccc1Cl,519.3880000000001,5.363700000000004,0,5,75.51,0.3074204465878656,2.6083451602474685,O=C1c2ccccc2C(=O)N1CCCN(c1ccccc1)c1ccc(=O)n(-c2ccccc2)n1,False,False,True,True,False,True,False,True,False,False,False
