"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2042042";"";"None";"490.55";"1";"5.11";"(S)-21";"C[C@@H](/C=C\C(F)(F)F)Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O";"IC50";"'='";"530.0";"nM";"6.28";"";"";"UO_0000065";"12.79";"0.25";"1.17";"6.64";"0";"CHEMBL2044155";"Inhibition of CDK2 by caliper method";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2040736";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"0.53"
"CHEMBL202695";"";"None";"430.54";"0";"1.80";"15";"CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1";"IC50";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"16.07";"0.32";"5.12";"5.30";"0";"CHEMBL867700";"Inhibition of CDK2 using 100 uM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138980";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"0.12"
"CHEMBL258805";"SU-9516";"1.0";"241.25";"0";"1.91";"1 SU-9516";"COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2";"IC50";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"28.84";"0.53";"5.05";"10.38";"0";"CHEMBL660704";"Inhibitory activity against Cyclin-dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136528";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"0.11"
"CHEMBL272389";"";"None";"394.43";"0";"0.51";"C24";"CS(=O)(=O)c1ccc2c(c1)/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2";"IC50";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"19.76";"0.41";"7.29";"5.27";"1";"CHEMBL661123";"Evaluated for inhibition of human cyclin dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137075";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"16.0"
"CHEMBL73189";"";"None";"335.80";"0";"4.50";"1c";"Cc1nc2ccccn2c1-c1ccnc(Nc2cccc(Cl)c2)n1";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"20.32";"0.39";"2.32";"12.38";"0";"CHEMBL660785";"Inhibitory concentration against cyclin-dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147565";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"0.15"
"CHEMBL79498";"";"None";"353.42";"0";"3.99";"8d";"O=C1Nc2ccc(F)c3c(S[C@H]4CCNC4)cc(-c4ccc[nH]4)c1c23";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"23.49";"0.45";"4.31";"14.58";"0";"CHEMBL658939";"In vitro inhibition of Cyclin-dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136123";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"5.0"
"CHEMBL2113092";"";"None";"476.51";"0";"3.74";"11";"CCCCOc1cc(Nc2ccc(S(N)(=O)=O)cc2)nc(N)c1C(=O)c1c(F)cccc1F";"IC50";"'='";"84.0";"nM";"7.08";"";"";"UO_0000065";"14.85";"0.29";"3.34";"5.15";"0";"CHEMBL831707";"In vitro inhibitory concentration against cyclin-dependent kinase 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144370";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"0.084"
"CHEMBL271160";"";"None";"374.42";"0";"1.89";"C8";"CC(C)Oc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2";"IC50";"'='";"3.4";"nM";"8.47";"";"";"UO_0000065";"22.62";"0.44";"6.58";"6.89";"1";"CHEMBL661123";"Evaluated for inhibition of human cyclin dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137075";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"3.4"
"CHEMBL272026";"GW290597X";"None";"467.51";"0";"1.12";"59";"NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(C(=O)NCCCn4ccnc4)cc32)cc1";"IC50";"'='";"25.0";"nM";"7.60";"";"";"UO_0000065";"16.26";"0.31";"6.48";"4.73";"0";"CHEMBL661125";"Inhibitory activity against human cyclin-dependent kinase 2 (CDK2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134300";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"25.0"
"CHEMBL72509";"";"None";"321.77";"0";"4.19";"1g";"Clc1cccc(Nc2nccc(-c3cnc4ccccn34)n2)c1";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"25.80";"0.49";"4.11";"15.06";"0";"CHEMBL660785";"Inhibitory concentration against cyclin-dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147565";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"0.005"
"CHEMBL101868";"";"None";"409.49";"0";"3.27";"6B";"COc1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1";"IC50";"'='";"85000.0";"nM";"4.07";"";"";"UO_0000065";"9.94";"0.19";"0.80";"4.44";"0";"CHEMBL660784";"Inhibitory concentration against cyclin-dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136192";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"85.0"
"CHEMBL99647";"";"None";"413.91";"0";"3.92";"3B";"CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Cl)ncn2)cc1";"IC50";"'='";"95000.0";"nM";"4.02";"";"";"UO_0000065";"9.72";"0.19";"0.10";"4.87";"1";"CHEMBL660784";"Inhibitory concentration against cyclin-dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136192";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"95.0"
"CHEMBL2035043";"";"None";"368.44";"0";"4.93";"13c, 95:5 trans/Cis mixture";"C1=C/Cn2ccc3ccc(cc32)-c2ccnc(n2)Nc2cccc(c2)COC/1";"IC50";"'='";"83.0";"nM";"7.08";"";"";"UO_0000065";"19.22";"0.35";"2.15";"13.63";"0";"CHEMBL2039967";"Inhibition of recombinant CDK2 using RbING as substrate after 2 hrs by luminometric assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2034857";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"0.083"
"CHEMBL272667";"";"None";"375.37";"0";"1.32";"C37";"Cc1c([N+](=O)[O-])ccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2";"IC50";"'='";"4.6";"nM";"8.34";"";"";"UO_0000065";"22.21";"0.44";"7.02";"5.32";"1";"CHEMBL661124";"Evaluated for inhibition of human cyclin dependent kinase 2 (CDK2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137075";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"4.6"
"CHEMBL83369";"";"None";"328.37";"0";"3.62";"8a";"O=C1Nc2ccc(F)c3c(SCCO)cc(-c4ccc[nH]4)c1c23";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"23.92";"0.47";"4.23";"12.06";"0";"CHEMBL658939";"In vitro inhibition of Cyclin-dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136123";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"14.0"
"CHEMBL4106617";"";"None";"420.52";"0";"2.31";"BDBM253983";"CC(C)C[C@@H]1CNC(=O)c2cc3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n21";"IC50";"'='";"2500.0";"nM";"5.60";"";"441680";"UO_0000065";"13.32";"0.25";"3.29";"5.60";"0";"CHEMBL3889221";"Caliper Assay: Selected compounds disclosed herein were tested in CDK4/cyclinD1, CDK6/CycD3 CDK2/CycA and CDK2/cyclinE kinase assays by Nanosyn (Santa Clara, Calif.) to determine their inhibitory effect on these CDKs. The assays were performed using microfluidic kinase detection technology (Caliper Assay Platform). The compounds were tested in 12-point dose-response format in singlicate at Km for ATP. Phosphoacceptor substrate peptide concentration used was 1 μM for all assays and Staurosporine was used as the reference compound for all assays. Specifics of each assay are as described below:CDK2/CyclinA: Enzyme concentration: 0.2 nM; ATP concentration: 50 μM; Incubation time: 3 hr.CDK2/CyclinE: Enzyme concentration: 0.28 nM; ATP concentration: 100 μM; Incubation time: 1 hr.CDK4/CyclinD1: Enzyme concentration: 1 nM; ATP concentration: 200 μM; Incubation time: 10 hr.CDK6/CyclinD3: Enzyme concentration: 1 nM; ATP concentration: 300 μM; Incubation time: 3 hr.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886995";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"2500.0"
"CHEMBL4107086";"";"None";"434.55";"0";"2.65";"BDBM253984";"CC(C)C[C@@H]1CNC(=O)c2cc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)nc3n21";"IC50";"'='";"6620.0";"nM";"5.18";"";"441681";"UO_0000065";"11.92";"0.22";"2.53";"5.68";"0";"CHEMBL3889221";"Caliper Assay: Selected compounds disclosed herein were tested in CDK4/cyclinD1, CDK6/CycD3 CDK2/CycA and CDK2/cyclinE kinase assays by Nanosyn (Santa Clara, Calif.) to determine their inhibitory effect on these CDKs. The assays were performed using microfluidic kinase detection technology (Caliper Assay Platform). The compounds were tested in 12-point dose-response format in singlicate at Km for ATP. Phosphoacceptor substrate peptide concentration used was 1 μM for all assays and Staurosporine was used as the reference compound for all assays. Specifics of each assay are as described below:CDK2/CyclinA: Enzyme concentration: 0.2 nM; ATP concentration: 50 μM; Incubation time: 3 hr.CDK2/CyclinE: Enzyme concentration: 0.28 nM; ATP concentration: 100 μM; Incubation time: 1 hr.CDK4/CyclinD1: Enzyme concentration: 1 nM; ATP concentration: 200 μM; Incubation time: 10 hr.CDK6/CyclinD3: Enzyme concentration: 1 nM; ATP concentration: 300 μM; Incubation time: 3 hr.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886995";"37";"BindingDB Patent Bioactivity Data";"";"2016";"None";"";"";"";"6620.0"
